name,description,color
security,Pull requests that address a security vulnerability,#ee0701
infrastructure,Changes to infrastructure and CI,#2D65FE
documentation,Improvements or additions to documentation,#000000
go,Pull requests that update Go code,#16e2e2
javascript,Pull requests that update Javascript code,#F9D0C4
python,Pull requests that update Python code,#0E8A16
sh,Pull requests that update shell scripts,#7B8EE1
chore,Routine or minor duty task,#5B5A85
breaking-change,Any kind of non-backwards compatible change,#ee0701
major,Large and incompatible API changes,#A22BD2
minor,New functionality with at most minor breaking changes,#A22BD2
patch,Bug fixes and security updates,#A22BD2
